potValue,1213
RPM,2364
potValue,1213
RPM,2364
potValue,1212
RPM,2353
potValue,1213
RPM,2364
potValue,1073
RPM,810
potValue,1015
RPM,167
potValue,1019
RPM,211
potValue,1155
RPM,1721
potValue,1295
RPM,3275
potValue,1289
RPM,3208
potValue,1291
RPM,3230
potValue,1292
RPM,3241
potValue,1414
RPM,4595
potValue,1625
RPM,6938
potValue,1633
RPM,7026
potValue,1632
RPM,7015
potValue,1633
RPM,7026
potValue,1779
RPM,8647
potValue,1997
RPM,11067
potValue,1997
RPM,11067
potValue,1997
RPM,11067
potValue,1997
RPM,11067
potValue,1818
RPM,9080
potValue,1606
RPM,6727
potValue,1606
RPM,6727
potValue,1605
RPM,6716
potValue,1491
RPM,5450
potValue,1283
RPM,3141
potValue,1277
RPM,3075
potValue,1241
RPM,2675
potValue,1226
RPM,2509
potValue,1227
RPM,2520
potValue,1227
RPM,2520
potValue,1227
RPM,2520
